,density
Boon Lay,3.64
Punggol,17293.16
Western Water Catchment,10.37
Bishan,11606.77
Kallang,11061.18
Pioneer,7.44
Tuas,2.33
Western Islands,0.25
Sungei Kadut,48.78
Tanglin,2567.16
Bukit Batok,12974.84
Bukit Panjang,15665.81
Museum,506.02
Bedok,12970.9
Straits View,0.0
Marina East,0.0
Changi Bay,0.0
North-eastern Islands,1.17
Jurong West,18159.04
Geylang,11574.2
Simpang,0.0
Outram,14588.49
Novena,5451
Queenstown,4791.68
Yishun,10117.68
Woodlands,18588.88
Tampines,12308.98
Bukit Timah,4408.69
Sembawang,7082.76
Mandai,177.62
Toa Payoh,14752.05
Bukit Merah,10594.35
Jurong East,4553.77
Paya Lebar,3.42
Hougang,16010.48
Clementi,9794.63
Central Water Catchment,0.0
Choa Chu Kang,30668.96
Orchard,1033.4
Marina South,0.0
Ang Mo Kio,11888.23
Tengah,1.35
River Valley,6732.2
Changi,51.22
Sengkang,22716.89
Lim Chu Kang,6.36
Downtown Core,578.34
Marine Parade,7724.37
Rochor,8328.17
Southern Islands,296.78
Serangoon,11612.55
Seletar,24.39
Pasir Ris,9780.97
Newton,3692.61
Singapore River,3113.9
